1,2,6,5,3,4,16,62
3,30,60,85,90
16,107,128,337
24
49
1
161
12,15,44,75,20

346
29,36,348
66
4,11,88
10,14,17
21,27,43,347
2,8,25,76
67,102,110,174
19
22,45
9,23,77
5,33,92,117,252
13,37,95
40
6,62,210
